tx_id,tx_size,tx_fee
316,735,2530
317,637,7761
318,219,9994
319,522,2608
320,610,1950
321,998,3059
322,789,4820
323,412,4137
324,884,1162
325,358,5919
326,752,7118
327,758,3811
328,703,4491
329,883,7134
330,970,1320
331,746,4940
332,560,3137
333,516,8278
334,755,2405
335,909,6433
336,280,3167
337,146,1338
338,612,4934
339,371,4028
340,335,5130
341,976,7474
342,782,5931
343,377,2588
344,347,8350
345,996,7420
346,711,8572
347,240,6231
348,892,1306
349,922,7897
350,350,5285
351,935,7519
352,492,3721
353,847,9874
354,865,3824
355,912,7462
356,396,2071
357,311,7984
358,228,9897
359,565,3954
360,812,3389
361,924,7300
362,544,6084
363,919,2574
364,344,5297
365,149,6710
366,114,8172
367,116,5597
368,139,1984
369,788,6932
370,493,2522
371,986,7437
372,722,7671
373,582,6145
374,729,1819
375,319,5982
376,870,3933
377,496,1877
378,301,9267
379,644,2719
380,138,7675
381,635,9122
382,616,2392
383,782,9704
384,640,2779
385,795,2768
386,659,8283
387,742,3435
388,762,4568
389,379,3817
390,186,2317
391,251,1532
392,632,5608
393,386,4476
394,341,3113
395,426,5507
396,362,8178
397,107,4381
398,480,2362
399,925,6626
400,533,8872
401,196,8430
402,959,8661
403,541,2947
404,181,1065
405,442,4481
406,863,1065
407,343,8160
408,447,3344
409,437,7005
410,705,9626
411,943,3457
412,789,9647
413,255,3297
414,732,7050
415,689,4795
416,257,2230
417,227,7498
418,596,4633
419,867,6235
420,935,5529
421,934,4060
422,769,3911
423,151,4904
424,485,2814
425,914,8309
426,583,3765
427,352,5178
428,283,7655
429,864,1953
430,370,7078
431,665,7339
432,277,7373
433,610,4965
434,675,5181
435,883,4206
436,458,9738
437,564,1451
438,440,8248
439,210,7846
440,476,2709
441,178,5565
442,888,8239
443,629,3177
444,113,5696
445,731,4993
446,153,8996
447,360,4623
448,759,3142
449,412,4236
450,693,2929
451,608,2868
452,874,8098
453,347,6730
454,163,3230
455,800,5265
456,788,7466
457,956,3859
458,759,7055
459,976,3531
460,828,1359
461,470,8468
462,755,4425
463,436,6657
464,472,6192
465,990,3440
466,447,5588
467,860,4752
468,456,3864
469,563,1477
470,580,5098
471,538,8173
472,431,5264
473,916,1680
474,176,4947
475,524,5211
476,832,4937
477,183,6932
478,765,8510
479,824,2415
480,847,8140
481,513,3345
482,224,10000
483,801,2821
484,489,6730
485,548,9246
486,390,7952
487,225,2078
488,882,5430
489,327,4041
490,994,9717
491,269,4473
492,211,3745
493,989,9930
494,928,5836
495,273,7185
496,313,6497
497,413,4339
498,495,1402
499,760,4741
500,288,6961
501,497,4823
502,185,3428
503,964,7938
504,841,2341
505,246,1481
506,823,3646
507,825,6880
508,296,1669
509,451,9609
510,885,1881
511,440,7220
512,930,2407
513,546,1579
514,945,5442
515,479,4129
516,828,6248
517,153,5075
518,369,4943
519,526,5910
520,398,5566
521,811,5652
522,722,2365
523,592,1798
524,398,4565
525,790,4587
526,245,8013
527,442,7862
528,493,9642
529,433,2055
530,929,3274
531,847,7413
532,159,3289
533,291,7004
534,823,1245
535,197,9307
536,786,7914
537,609,3237
538,541,3265
539,717,7522
540,676,5140
541,251,6050
542,409,7400
543,114,9157
544,880,7824
545,577,8993
546,408,6236
547,809,2767
548,284,9723
549,340,5485
550,440,9247
551,827,4780
552,152,3675
553,783,4440
554,606,9748
555,335,8531
556,327,5469
557,393,8847
558,574,2993
559,128,6796
560,181,1345
561,563,1190
562,983,8179
563,661,1620
564,118,9204
565,570,7090
566,425,9148
567,406,9285
568,561,2743
569,549,2148
570,596,9598
571,663,4658
572,824,4858
573,232,2300
574,693,5539
575,224,6285
576,754,4529
577,510,1975
578,799,9136
579,286,4855
580,732,5762
581,918,9478
582,360,1115
583,633,5874
584,573,3749
585,117,5554
586,562,8084
587,840,3160
588,873,9532
589,952,9233
590,435,2745
591,721,8305
592,243,9157
593,167,5281
594,102,4521
595,390,7879
596,977,8489
597,124,7428
598,741,2153
599,626,3714
600,514,4338
601,154,8200
602,112,6901
603,581,2154
604,544,7170
605,795,5043
606,256,7572
607,763,5291
608,456,1918
609,793,8389
610,227,2241
611,974,6322
612,380,9397
613,632,5733
614,911,5779
615,793,2283
616,536,5152
617,233,9831
618,846,1288
619,702,3460
620,414,8521
621,719,1711
622,528,5082
623,809,1414
624,139,5958
625,423,8566
626,995,3445
627,366,9533
628,169,9884
629,528,7496
630,640,3659
631,837,1983
632,557,3109
633,782,6353
634,337,9299
635,983,2542
636,453,2675
637,898,2260
638,541,1691
639,167,3983
640,513,8763
641,553,8254
642,664,2811
643,235,5053
644,646,7226
645,478,6631
646,602,2521
647,742,1490
648,761,5097
649,281,2762
650,663,7895
651,460,2010
652,919,3462
653,199,5725
654,564,3690
655,219,7667
656,285,3237
657,277,5235
658,989,9356
659,902,1347
660,945,9160
661,224,4046
662,153,2195
663,400,8533
664,437,3124
665,336,9566
666,489,9594
667,410,1964
668,736,4704
669,162,6516
670,823,4018
671,630,7169
672,751,4181
673,137,5843
674,324,5669
675,538,9049
676,873,2638
677,554,1586
678,143,7116
679,729,3250
680,378,5669
681,299,4598
682,460,6795
683,842,2286
684,748,8228
685,730,3898
686,431,4948
687,249,3944
688,919,7719
689,499,3318
690,170,1768
691,316,6800
692,579,2308
693,283,4065
694,668,4197
695,287,4873
696,712,6720
697,743,7963
698,304,6414
699,977,5414
700,155,4945
701,340,3995
702,215,6097
703,728,6295
704,597,1506
705,296,5454
706,424,4796
707,528,9102
708,706,1556
709,158,3638
710,911,6047
711,232,2584
712,796,6826
713,955,7598
714,480,6051
715,391,6198
716,239,4334
717,168,6972
718,954,7266
719,637,3920
720,110,6575
721,669,5096
722,569,4582
723,864,7917
724,641,4771
725,564,2044
726,615,2732
727,650,3574
728,638,6149
729,847,3703
730,831,7617
731,487,2746
732,389,2274
733,223,7854
734,531,4329
735,441,9462
736,764,3519
737,550,8058
738,538,5843
739,838,7100
740,900,3095
741,913,6978
742,276,3534
743,448,1131
744,637,9803
745,997,6124
746,740,3174
747,982,7935
748,279,8004
749,820,6566
750,420,5061
751,588,5073
752,572,5146
753,429,7756
754,937,7827
755,590,6857
756,248,5002
757,106,3672
758,669,6691
759,915,9487
760,543,5306
761,778,2865
762,101,5446
763,822,1467
764,407,2205
765,540,7532
766,136,5862
767,679,4094
768,263,3124
769,900,3075
770,930,6008
771,130,9434
772,664,4699
773,166,5083
774,790,7648
775,617,1115
776,697,8455
777,373,3227
778,162,8048
779,193,6758
780,627,8901
781,293,5491
782,359,3957
783,213,1786
784,139,8066
785,192,6341
786,219,4113
787,278,1773
788,881,6032
789,292,1006
790,847,6791
791,390,2988
792,675,1507
793,691,7037
794,324,5122
795,940,7596
796,671,7276
797,548,9850
798,873,6786
799,729,1607
800,859,9973
801,160,8389
802,517,1168
803,409,6634
804,219,4740
805,174,4336
806,826,4347
807,646,8833
808,964,5271
809,704,1962
810,984,9469
811,348,7725
812,771,3686
813,267,2465
814,645,4371
815,257,6117
816,916,9529
817,199,3160
818,657,7944
819,222,9211
820,854,3743
821,993,1784
822,575,2358
823,210,4831
824,338,9680
825,921,4281
826,139,4373
827,650,3435
828,827,9118
829,229,6149
830,499,1376
831,721,1107
832,754,4913
833,456,3505
834,842,5633
835,339,9340
836,633,5900
837,866,2539
838,476,5207
839,440,8676
840,599,5075
841,215,9779
842,267,6900
843,166,8124
844,398,6591
845,514,4974
846,459,3233
847,372,4898
848,906,5532
849,338,1818
850,331,3267
851,258,8939
852,320,6202
853,958,3573
854,165,7551
855,277,7300
856,966,3524
857,287,7823
858,149,8528
859,962,1257
860,920,9341
861,758,8884
862,452,8722
863,534,1472
864,634,2733
865,714,1235
866,165,7742
867,131,6218
868,740,7592
869,500,2482
870,198,6267
871,507,4350
872,343,8721
873,390,6807
874,203,1692
875,132,9002
876,748,5105
877,740,9226
878,428,4336
879,103,7933
880,714,2018
881,665,7663
882,610,4730
883,853,4002
884,170,8505
885,502,7270
886,959,1325
887,233,8032
888,919,3842
889,758,2113
890,774,6595
891,117,6776
892,223,2185
893,183,4557
894,802,1928
895,866,2738
896,234,1065
897,843,8427
898,926,7243
899,442,4098
900,503,5408
901,348,8362
902,835,6039
903,445,8440
904,267,3432
905,923,1616
906,656,1485
907,229,4567
908,479,8762
909,377,6764
910,634,6157
911,203,3081
912,866,9864
913,139,3499
914,459,1069
915,647,3056
916,970,2982
917,397,3427
918,116,9575
919,859,6746
920,174,2438
921,274,8068
922,522,7662
923,513,6767
924,860,5685
925,992,5334
926,717,7607
927,858,9242
928,365,9143
929,642,8891
930,626,3166
931,259,7826
932,386,1127
933,983,6537
934,143,2319
935,841,2060
936,347,7076
937,399,2966
938,377,1038
939,934,1549
940,669,6034
941,726,8717
942,773,3163
943,329,5446
944,579,2306
945,940,1486
946,268,2391
947,626,5742
948,884,2931
949,887,8026
950,552,1338
951,193,8664
952,566,1807
953,220,5704
954,490,9801
955,136,8285
956,763,4788
957,238,4060
958,454,2143
959,172,4809
960,249,1706
961,558,4780
962,298,1501
963,552,3444
964,601,5269
965,700,7273
966,396,5765
967,183,3489
968,564,8164
969,954,7030
970,126,8583
971,549,6777
972,521,7529
973,594,8021
974,905,8795
975,1000,4321
976,694,9567
977,921,9091
978,389,4240
979,464,5059
980,180,3924
981,626,4730
982,622,1638
983,940,7895
984,369,7117
985,309,9877
986,908,2366
987,275,5719
988,108,4174
989,154,1748
990,640,2289
991,126,9953
992,334,9916
993,144,7561
994,381,7108
995,834,3993
996,267,6295
997,546,1050
998,696,7665
999,709,5720
1000,651,8696
1001,354,5968
1002,911,2066
1003,242,3131
1004,633,1287
1005,171,8189
1006,356,3222
1007,861,7918
1008,562,2290
1009,425,7150
1010,442,5028
1011,188,1173
1012,424,5395
1013,253,2686
1014,191,4825
1015,176,2163
1016,947,6500
1017,518,4581
1018,855,6787
1019,789,4974
1020,688,3264
1021,500,6378
1022,357,8656
1023,748,2536
1024,330,7922
1025,655,6459
1026,946,5823
1027,741,7152
1028,387,8688
1029,851,6362
1030,144,6744
1031,516,4918
1032,413,6291
1033,231,2197
1034,591,6784
1035,121,9988
1036,583,2028
1037,248,7698
1038,112,2515
1039,552,5940
1040,888,4368
1041,869,4556
1042,770,6473
1043,999,6728
1044,481,1345
1045,736,8530
1046,202,1564
1047,204,9965
1048,881,5400
1049,882,4702
1050,621,2121
1051,367,3612
1052,606,4704
1053,352,8028
1054,930,8007
1055,663,8032
1056,862,5000
1057,660,9434
1058,518,2832
1059,495,5589
1060,823,1881
1061,908,3403
1062,620,1278
1063,882,1097
1064,562,2515
1065,486,7357
1066,310,4642
1067,891,9553
1068,589,7456
1069,879,3622
1070,266,7067
1071,363,9050
1072,385,1566
1073,912,1841
1074,958,5138
1075,181,3246
1076,943,7232
1077,232,4262
1078,604,7087
1079,392,3079
1080,577,7507
1081,319,5217
1082,410,5181
1083,456,5778
1084,980,6744
1085,678,1058
1086,497,1160
1087,869,3277
1088,422,9987
1089,561,2785
1090,737,9408
1091,530,1666
1092,141,7335
1093,426,5394
1094,943,2710
1095,742,8054
1096,421,8300
1097,268,5385
1098,214,3709
1099,694,7655
1100,527,8294
1101,700,2686
1102,574,2231
1103,770,2142
1104,723,2078
1105,502,5140
1106,871,3298
1107,369,8830
1108,253,5514
1109,509,5664
1110,649,9951
1111,178,5119
1112,630,9555
1113,209,3161
1114,884,7122
1115,386,2510
1116,637,3909
1117,800,9841
1118,566,4942
1119,956,6711
1120,804,3194
1121,214,6872
1122,751,9021
1123,507,2137
1124,917,7043
1125,238,6166
1126,630,7970
1127,775,6606
1128,534,1272
1129,154,1812
1130,369,4239
1131,403,4200
1132,153,4035
1133,279,3383
1134,527,4700
1135,903,9573
1136,272,3653
1137,765,9570
1138,162,2482
1139,595,1105
1140,891,4845
1141,465,8373
1142,208,7313
1143,445,3638
1144,453,5298
1145,966,3375
1146,437,8487
1147,600,2310
1148,830,8112
1149,649,4237
1150,200,2967
1151,842,4910
1152,300,7910
1153,233,7846
1154,315,3354
1155,761,2320
1156,956,8447
1157,118,2214
1158,369,3366
1159,992,3489
1160,532,8155
1161,255,7790
1162,232,1869
1163,980,5102
1164,860,9211
1165,880,2713
1166,254,7955
1167,735,3671
1168,986,7453
1169,451,9440
1170,960,8156
1171,336,6860
1172,105,4801
1173,209,2889
1174,355,5199
1175,292,1542
1176,749,2590
1177,413,5677
1178,378,1856
1179,926,1557
1180,813,2361
1181,777,4197
1182,345,6701
1183,630,4281
1184,400,9864
1185,301,6536
1186,772,7139
1187,395,2778
1188,322,7232
1189,944,3712
1190,426,7127
1191,776,3367
1192,786,9977
1193,827,5391
1194,693,6455
1195,444,7087
1196,152,8988
1197,450,7208
1198,794,8600
1199,963,5661
1200,854,7582
1201,233,6784
1202,123,2936
1203,231,4058
1204,436,8009
1205,600,7028
1206,256,5023
1207,291,4145
1208,442,1449
1209,865,1472
1210,158,2554
1211,167,3524
1212,112,5498
1213,120,9097
1214,471,9493
1215,454,7312
1216,193,6774
1217,325,7101
1218,427,1604
1219,975,4868
1220,615,9335
1221,389,8426
1222,674,5198
1223,989,8332
1224,630,4986
1225,100,1922
1226,239,7619
1227,314,3138
1228,814,2954
1229,717,5684
1230,192,3297
1231,210,8806
1232,142,9516
1233,499,5995
1234,990,9970
1235,519,2919
1236,318,3244
1237,233,3074
1238,953,1851
1239,959,1957
1240,850,3356
1241,370,7117
1242,603,5849
1243,877,2888
1244,553,2906
1245,419,2029
1246,427,2342
1247,958,7503
1248,392,6897
1249,364,2308
1250,863,6841
1251,242,8926
1252,416,6209
1253,782,3078
1254,592,8701
1255,819,4215
1256,710,4632
1257,810,4942
1258,768,1269
1259,352,5095
1260,757,7786
1261,808,8383
1262,109,7513
1263,244,4825
1264,443,9929
1265,770,9651
1266,788,5868
1267,516,8117
1268,567,1725
1269,102,5455
1270,662,5662
1271,973,5299
1272,211,7523
1273,317,2360
1274,182,9633
1275,583,8080
1276,508,9286
1277,484,9117
1278,704,1944
1279,304,5898
1280,204,7022
1281,614,8162
1282,595,9809
1283,103,8490
1284,188,1598
1285,835,8897
1286,885,2108
1287,648,6606
1288,103,3781
1289,133,3166
1290,792,3753
1291,668,1622
1292,515,9784
1293,853,1291
1294,302,1645
1295,333,9999
1296,577,1510
1297,548,6195
1298,535,8993
1299,867,9508
1300,970,4958
1301,557,5821
1302,611,8147
1303,873,5282
1304,854,1546
1305,380,9962
1306,995,5408
1307,885,4728
1308,417,4396
1309,338,9224
1310,807,1875
1311,940,6366
1312,848,5617
1313,203,4947
1314,110,2395
1315,199,7909
1316,722,4311
1317,488,6029
1318,240,2885
1319,781,3029
1320,492,2143
1321,264,3007
1322,849,6047
1323,951,9113
1324,901,9581
1325,505,5636
1326,978,1246
1327,206,9263
1328,553,6814
1329,904,1742
1330,169,5293
1331,776,7569
1332,840,9165
1333,493,9000
1334,116,5522
1335,766,4742
1336,858,2008
1337,662,4025
1338,122,8208
1339,355,4739
1340,913,9490
1341,253,9255
1342,127,9519
1343,893,5199
1344,187,5582
1345,264,6036
1346,278,8061
1347,617,7261
1348,472,6132
1349,436,7433
1350,588,2052
1351,532,5111
1352,564,6259
1353,148,9142
1354,581,6025
1355,616,7989
1356,264,9657
1357,886,6953
1358,632,8721
1359,968,8560
1360,967,4842
1361,468,3512
1362,711,3369
1363,254,9376
1364,944,1403
1365,117,8965
1366,195,7961
1367,450,8533
1368,914,8571
1369,384,4784
1370,611,2988
1371,702,9190
1372,352,1407
1373,835,2809
1374,571,5267
1375,622,5607
1376,292,5525
1377,787,8517
1378,207,4610
1379,895,8010
1380,700,3446
1381,267,2267
1382,199,4035
1383,642,5888
1384,160,9732
1385,432,7059
1386,907,6195
1387,795,1150
1388,726,2892
1389,450,1393
1390,893,6615
1391,298,7198
1392,258,4273
1393,693,9214
1394,191,9567
1395,807,2383
1396,165,3838
1397,732,5587
1398,999,7844
1399,988,7578
1400,237,7641
1401,185,2780
1402,296,5560
1403,662,7811
1404,265,7439
1405,236,3534
1406,478,2468
1407,333,2942
1408,338,9341
1409,925,2389
1410,797,2886
1411,591,1506
1412,961,3374
1413,851,8140
1414,992,4659
1415,138,6543
1416,510,2166
1417,348,7685
1418,311,3456
1419,399,2045
1420,965,8741
1421,427,3946
1422,429,9909
1423,965,8444
1424,977,7757
1425,636,4347
1426,644,4152
1427,875,6272
1428,268,4502
1429,804,3949
1430,848,4049
1431,554,6931
1432,870,2163
1433,560,6145
1434,235,2531
1435,833,4507
1436,110,6464
1437,103,8040
1438,186,3419
1439,629,9852
1440,955,9284
1441,834,3750
1442,214,9413
1443,846,1950
1444,825,2824
1445,460,9323
1446,478,4307
1447,849,2463
1448,237,9964
1449,245,9242
1450,899,4717
1451,190,2699
1452,204,9446
1453,884,2197
1454,385,2068
1455,195,5908
1456,887,2760
1457,135,3178
1458,525,2410
1459,563,6542
1460,607,4659
1461,855,2886
1462,897,1092
1463,536,4030
1464,138,5233
1465,485,6599
1466,476,9479
1467,134,9428
1468,431,2589
1469,602,6380
1470,593,8312
1471,333,9189
1472,733,6168
1473,487,1235
1474,762,8597
1475,940,8450
1476,858,5971
1477,321,9621
1478,679,8278
1479,801,2812
1480,437,7105
1481,494,5636
1482,273,8625
1483,713,2274
1484,154,9084
1485,209,6607
1486,637,4518
1487,704,9247
1488,761,9264
1489,536,8989
1490,987,5563
1491,242,3644
1492,802,7906
1493,889,1820
1494,603,3440
1495,843,2062
1496,304,8431
1497,944,8139
1498,187,7717
1499,501,8471
1500,724,5578
1501,190,6492
1502,294,3003
1503,898,5993
1504,345,8062
1505,866,4457
1506,172,4036
1507,249,7977
1508,476,6961
1509,291,2087
1510,880,1781
1511,414,3396
1512,521,5296
1513,212,3151
1514,478,5280
1515,202,4492
1516,334,1881
1517,855,4726
1518,277,9456
1519,628,8377
1520,941,5895
1521,919,9459
1522,662,9394
1523,819,2678
1524,913,1974
1525,601,2061
1526,434,3432
1527,828,5120
1528,265,3256
1529,212,7417
1530,165,1799
1531,408,3184
1532,561,5484
1533,150,7116
1534,188,6791
1535,188,3427
1536,424,7030
1537,544,5617
1538,473,8445
1539,591,4615
1540,311,6915
1541,830,3473
1542,803,4669
1543,234,8367
1544,302,9562
1545,898,4349
1546,973,5893
1547,304,4374
1548,630,7625
1549,766,5758
1550,192,1478
1551,503,7653
1552,224,7265
1553,829,2365
1554,738,3930
1555,813,1463
1556,704,7928
1557,280,2261
1558,547,9100
1559,295,2773
1560,852,3255
1561,397,3819
1562,107,5378
1563,282,1411
1564,266,8986
1565,781,4293
1566,866,1748
1567,945,5400
1568,505,1468
1569,254,3954
1570,287,1266
1571,220,5512
1572,950,7368
1573,813,3283
1574,971,3198
1575,255,2470
1576,230,1841
1577,997,8234
1578,691,9041
1579,189,4640
1580,313,9010
1581,976,8608
1582,600,2398
1583,523,7537
1584,598,5716
1585,949,7697
1586,769,3863
1587,153,2550
1588,425,6950
1589,945,2999
1590,762,4337
1591,934,7048
1592,810,1533
1593,994,3946
1594,850,4712
1595,867,7730
1596,963,5641
1597,514,5956
1598,662,2371
1599,648,2733
1600,162,1134
1601,243,8567
1602,576,3148
1603,755,3732
1604,485,2282
1605,878,9783
1606,827,7361
1607,877,5515
1608,192,1570
1609,934,3952
1610,979,1291
1611,321,5044
1612,453,6647
1613,217,1048
1614,215,7734
1615,379,7473
1616,396,1651
1617,262,6652
1618,605,6174
1619,639,1572
1620,667,4856
1621,205,6717
1622,978,5380
1623,163,4740
1624,584,5630
1625,378,5331
1626,240,1870
1627,935,1398
1628,857,3206
1629,882,2665
1630,924,5136
1631,388,9075
1632,749,4501
1633,760,6002
1634,641,3012
1635,157,3829
1636,697,5046
1637,274,6169
1638,564,6889
1639,370,3478
1640,855,1872
1641,609,8829
1642,339,9976
1643,941,7947
1644,120,4608
1645,387,2848
1646,226,9379
1647,199,7764
1648,337,5596
1649,965,3994
1650,740,1499
1651,345,2469
1652,300,8352
1653,273,3398
1654,600,5433
1655,262,9324
1656,816,4349
1657,169,9792
1658,748,7861
1659,440,5629
1660,146,6366
1661,444,2696
1662,948,5007
1663,146,7823
1664,376,3692
1665,710,2038
1666,586,7725
1667,345,8074
1668,779,7897
1669,935,6904
1670,168,7360
1671,317,8418
1672,194,7097
1673,227,1854
1674,670,3854
1675,243,6242
1676,323,9929
1677,921,6787
1678,419,1997
1679,863,2657
1680,411,4598
1681,630,5942
1682,870,1027
1683,918,4209
1684,791,7333
1685,254,9038
1686,507,8967
1687,877,3653
1688,905,4067
1689,778,7685
1690,405,4335
1691,364,9956
1692,198,6356
1693,372,1091
1694,488,7043
1695,236,4028
1696,828,6020
1697,606,2992
1698,578,2252
1699,128,3235
1700,736,4218
1701,983,6491
1702,842,4797
1703,402,1022
1704,847,6746
1705,995,8199
1706,798,3792
1707,552,8421
1708,888,2920
1709,956,7115
1710,882,3982
1711,706,5540
1712,712,3873
1713,789,8284
1714,414,6501
1715,999,3578
1716,862,4361
1717,789,6825
1718,695,2545
1719,237,8120
1720,711,4946
1721,888,5229
1722,800,1527
1723,127,8237
1724,692,3655
1725,947,5566
1726,200,7318
1727,844,2489
1728,888,7024
1729,550,7161
1730,721,3591
1731,461,3785
1732,341,7921
1733,468,5807
1734,209,7995
1735,442,3363
1736,706,1966
1737,700,9765
1738,717,8201
1739,482,7055
1740,571,7456
1741,169,2976
1742,333,3215
1743,183,4810
1744,931,1033
1745,552,2479
1746,820,6310
1747,724,3044
1748,212,2681
1749,559,7092
1750,967,6037
1751,298,6381
1752,276,8417
1753,482,1090
1754,810,7758
1755,955,1554
1756,810,1023
1757,997,7767
1758,514,9787
1759,986,1676
1760,927,2901
1761,244,5653
1762,192,6367
1763,892,8192
1764,428,4064
1765,603,8126
1766,719,1307
1767,510,9910
1768,809,2043
1769,543,8621
1770,740,1977
1771,400,5877
1772,491,6455
1773,555,3009
1774,1000,8666
1775,194,5645
1776,199,7645
1777,769,7230
1778,224,3062
1779,345,7701
1780,125,7023
1781,488,6867
1782,595,6044
1783,758,6960
1784,587,9455
1785,172,6740
1786,183,1065
1787,873,8616
1788,953,3847
1789,460,3547
1790,479,1932
1791,308,6231
1792,895,5631
1793,780,1141
1794,199,8840
1795,250,8115
1796,356,2728
1797,864,6273
1798,435,1397
1799,838,4659
1800,509,2144
1801,484,1852
1802,508,3627
1803,608,4293
1804,800,1147
1805,332,5484
1806,115,3973
1807,357,8136
1808,802,7634
1809,211,9924
1810,249,7485
1811,853,3601
1812,954,5989
1813,619,8557
1814,664,6154
1815,609,7393
1816,573,6729
1817,717,3665
1818,734,5444
1819,832,3222
1820,460,2240
1821,927,2670
1822,745,2883
1823,642,9628
1824,425,4991
1825,402,7569
1826,897,2293
1827,697,3410
1828,513,3878
1829,463,4377
1830,387,8444
1831,278,3085
1832,275,9672
1833,288,3043
1834,805,9293
1835,464,5271
1836,881,8836
1837,915,6550
1838,897,4051
1839,496,5586
1840,824,6249
1841,349,6771
1842,833,9178
1843,341,1725
1844,554,9769
1845,280,5452
1846,462,1830
1847,808,7720
1848,715,5999
1849,472,3760
1850,839,4278
1851,490,2160
1852,650,3801
1853,872,3569
1854,404,4252
1855,228,8733
1856,906,9874
1857,514,1216
1858,287,3795
1859,782,2315
1860,767,5097
1861,910,3838
1862,297,7960
1863,905,8221
1864,405,9130
1865,291,7751
1866,583,7411
1867,715,1512
1868,856,7671
1869,947,4594
1870,396,7921
